useful_votes,time_diff_days,review_stars,biz_stars,biz_reviews,text_length,num_friends,user_review_count,review_id
0,2496,4,3.5,278,714,32,53,e6ltxcgTuUJEGarB_DNkYQ
2,146,3,3.5,236,869,43,512,IPpkghhtRXl33SzT_x_Dbg
1,536,4,3.5,2142,1005,99,648,xj-6FrMZ520Raz55rdeHLw
0,986,5,4,129,524,0,20,4YwMSbKMswX9ILDRl_Fr_Q
1,1583,4,4,542,621,3,6,gD4uS93206qNXvzFiPE6Lw
0,581,5,4,441,1698,6,1,PIejg_nhQM42dnAyYB5iNg
0,738,2,3,61,607,11,9,xvn78IOYFGuS826DV7GnwA
1,487,4,3,249,283,36,43,HYynGIGv_yzv9v6lARk39g
0,828,3,3.5,17,134,0,10,nmBQ5ACtA25mg8Dhg3tUIA
0,623,4,3.5,647,222,0,44,kjXATj_zu1-KDVAz5bTPaA
0,758,4,2.5,612,225,3,36,191XOEKoG5quNm4rTnbiNw
1,2554,4,3.5,93,720,4,27,oUcUsTZ_oNHBpGPNT111hw
0,1114,3,4,2362,366,2,14,8hEFgnWBbHCO5eEBK7cnyw
7,201,2,4,198,1138,197,398,pH_MWGuR26mNM4Ef0aaY5A
0,2251,5,4,111,919,27,14,kvLuqOnN5BU4LRSv-UPAjQ
0,2526,2,4,600,296,0,24,iHnR4BxO5No8Y4QA0OYJKA
1,411,1,3,18,1274,0,7,WwsJ-kZHlA71gwoCJLFHhQ
0,1185,5,3.5,235,652,0,17,IX9V2OuTTlHVIeBk-vd5Fg
1,583,5,4,210,154,21,124,Q2VhGEgU8-NFlPz1G7qTew
0,363,1,4.5,222,571,0,7,4R5LKBujkIFpyXAi2Sd_fQ
0,1800,3,4,599,1164,28,324,_AHUFL7XBC4C4e5Dc2HO2Q
0,1908,5,4,6200,232,0,77,7q5bjsr3RqVIcLtletff6A
0,227,1,3,62,92,18,20,zmDAxk5c5sICScl5nVh-Ng
0,2086,3,2.5,196,658,62,225,qUJe8efu1CgWSm8l2uL53A
0,266,5,4,1818,147,0,10,tRfRKYHcHg4oVl7Iim4DYg
1,310,1,3.5,163,985,1,51,021C0nmjBqQalOPfyyDGCA
2,994,3,3.5,247,621,302,201,InJqM5ZQGJF72eH_Ue5knQ
0,454,3,3,601,307,12,396,pDStY3FOSEPcoky3r_7s8w
0,105,3,3,103,282,2,105,HVqVF10kJtmHMRbxn4K5Xw
0,653,5,4,188,116,1,9,hVZbidjv0PrYgIj96Y2RpA
0,1537,3,3.5,454,999,1,27,F1rZ_c1wg-oMCxLPaCZ5qA
4,878,5,4,26,748,44,222,HbQj8FM9zO8hCX0oyV49kg
0,1256,3,3,9,127,16,51,bAs0HBCc4DvUwelHQP3Rig
0,843,4,4,583,582,30,476,cdBFgI9OKXvfbiRoV09EDA
1,1068,5,4,638,338,2,36,5aigwEWaIIB6lCqTytBTOg
0,547,5,4.5,42,411,0,5,cEkMRM9aFYkp3BDmm3Xjow
3,886,1,4,46,1553,0,5,V_WHqu7nN8QrAfQNiVqcNg
0,404,5,4,42,578,1,45,6Gn8hZ-vjPsziwNMyXkgwg
24,1766,3,4,3086,2318,270,115,VtaCEN0TaPQJ040GjioAqg
1,561,5,3.5,454,1158,23,302,VpJOREAvjyA1mFb9jb6hCg
0,2114,4,4,75,520,8,16,4xjyhNdjONMQn4XeADAmRQ
0,798,1,3.5,37,269,0,1,vlWKzjt79rAwFXVDs7TDWQ
0,315,5,4,2794,847,7,38,z4MVoUTb_aQmFiJJaZeCUg
0,127,4,3,903,861,0,8,nXYPOPXPLjo3ARSECZXzpw
3,2030,2,3.5,944,3115,28,288,UONtTErCMaHH1zm_LS23Yw
0,689,1,1.5,63,2391,0,3,NgKaMRAWN6aGW4IxXHfffg
0,404,5,4,48,951,0,4,3SWqHMqjGGbff2KghV0nWw
0,630,1,4,2632,268,0,6,sbk2cEUxKu5Wma94QZXgZQ
1,690,5,4,58,290,4,24,nkga6Oi4WIsj9KKIX6DQzQ
1,108,5,5,27,654,287,8,gqL3kt-1Zto3A3g4LUZcsQ
1,588,4,3,903,512,4,30,POlh-4OqoAlMpbecounfAA
1,174,5,4,665,238,76,50,fimFTtrrbLoXN7SVt6FS4w
0,2126,4,3,41,920,2,183,6nH0_9s499K2Mj62FkRa0g
1,2235,2,3,1728,1823,5,57,Z8Z2dAAemPjMi8ryPDA8Ug
5,507,4,4,286,804,75,98,9pGSytEjNyHsKGQ27apoHA
0,1202,5,4,1395,448,1,11,VjmcWM2WiuRVxpm-e452MA
1,489,4,4.5,924,511,85,374,bWTE0VTrfj-QMBCVc2fMqw
0,981,5,5,6,494,3,3,0HbuSZanVIfxKeWdUOoIow
1,995,5,4.5,1102,299,199,16,Y1EnPiXjAG8wW6d1byNfDA
0,185,4,3.5,305,518,0,26,racLKAIAgSHaGie4a7X6Ow
0,1338,4,4,1480,1762,9,276,RmDT8cAjB-kNAcpUlCFfjQ
0,2572,5,4.5,315,702,0,25,0wCfaVhf8eXqJGot_y2GTw
1,479,1,3.5,113,899,5,22,kaohTNZ1HOuCjmV39QPFXg
0,371,5,4,230,1694,0,9,u-y2f6xyMxfMAyF9YZInmg
3,1756,4,3.5,1955,996,55,761,rsFAtAVL2YTnlsVKWnQH_Q
4,165,4,4,11,1416,186,650,GPO4DhUfXFIIfL0c4DiqsQ
0,130,1,4,2857,317,0,5,3ow8uQsxK9S6wSHaa7SwdA
0,556,5,4,1727,291,0,11,qIhWbjk3iLAnx2niojxYNw
0,1834,3,4,3086,316,7,75,eesR92b0n58tow2_K4JRSA
1,644,5,3,52,2075,18,19,gXwOHSQ62g5ozazwteVXPA
1,3035,3,3,937,346,13,161,z7dKHLxo-z3xgWyQbT0lwA
0,794,5,4,1221,509,3,2,mU_llAOHadis4WDWK0crBA
1,421,5,4.5,222,487,27,31,bdn4gsywZdxhBIWI-JZT1A
1,1986,4,4,249,634,83,95,1yXPsXGeoST6DftYdSwHeg
2,203,1,3,249,1207,18,19,NY74oa0BuxU_u2vi7DfhjQ
1,624,5,4.5,82,377,14,63,wzyjf25sKZUePJBBsdqjGw
0,662,3,3.5,184,501,7,35,T5_B5iiQn6LrOO33qbd7fA
5,1042,3,4,272,513,214,233,4r3j050W_yQsiHh6uORZzw
0,329,5,4.5,638,249,0,82,xc1FYlrIB6ngI0QHe_XUfw
0,170,4,4,120,259,17,68,Z93LIAB7RXwki3zDmSA1jg
0,484,4,3.5,698,1194,10,91,C9GqUTJub5xlW_RPUGq3DQ
0,783,3,4.5,349,155,72,368,J4QAvBwNq0OXHIX2tR20nw
1,2142,4,3.5,6,1261,86,1303,K4zrz_ccqKzCoXz9Zi0EsQ
0,515,5,4.5,3767,90,20,3,GQNKRQAanT--P9kvmKMfuA
1,230,5,4.5,80,134,0,15,7w9uDAJV5UHPN5P1TOqu-g
57,519,3,4,104,1167,457,686,hXMnulANK-1c7th934BZpA
1,626,5,4,295,1763,12,276,jhrnWDvjG_rJA4Ea2SbdSQ
0,499,1,3,83,847,0,23,ZDBiORhttzbLxSjqS2oUQg
0,815,5,4,112,141,3,7,d2p5CGkNC6Uq_Va6ksWCTg
2,741,3,2.5,612,1219,194,335,f9Sc5b8RXztk90jfYdn_sw
0,837,5,4,3577,690,0,6,LAL93uoIyqokXCtSFRqyKg
0,546,5,4,313,395,0,4,VubrQWd079L8bwgkg0gyPQ
0,1603,4,3.5,513,486,10,210,5IPWycm0JUu2CyP-9M_LLg
0,118,5,3.5,3,446,0,23,xMqRJSAyhCReVgRBQhdoZA
0,298,3,4,80,391,2,77,o8WxekYICJlPa7ucSGjFyA
0,912,5,3.5,601,285,6,29,UBGH1qLoEImC6trJgYpAaA
1,726,2,3,45,420,1,8,JRJERxrhnZiCj2KV14x7yg
1,809,1,3.5,22,746,1,7,_PqHTCBfl5o4HxP7NkXI3g
1,244,5,4.5,91,428,2,5,rnkgGKLaqQTGeLkL_cUC4w
0,392,1,3.5,9,459,9,4,mutuGsirYdjw3rxszBVq-A
0,1449,5,3.5,53,31,28,61,zJq3mBLIH_7g4bdOztXmpA
0,659,4,4,166,175,4,16,MR4ozC3DrJywpVwFvewmsQ
17,1507,4,4.5,762,5003,1260,2660,x8Nl1e23m6-9Dzt-Xz-6xg
1,543,5,4,51,365,13,39,7tW9dxkMp93Ydpq8HNlhig
0,509,2,3.5,505,157,0,11,PCi1iUtRxLpV62Z2E11urg
4,1382,2,2.5,193,3971,3,39,HKvvaTPV8EYSSQoLbS-XLg
1,256,1,4.5,1922,426,6,29,MpWpDcJt34yNoNl7UnLrKA
0,610,4,4,600,354,0,4,JJbpJygpZUsM6Q7vH_PFow
1,812,1,4,100,202,289,45,dKEuakPYsmG_P88l8q8tkQ
0,110,5,5,4,210,5,2,zClIlD8Bfl97vigXI8_1ng
0,1730,4,3.5,517,675,9,56,7vlzDzlrdPdKLvxtFJWP2w
0,224,5,3,23,107,0,32,aXwcHYgOJuG4ZhkwoRzuUg
0,216,5,4.5,241,197,4,18,KoT1qj-GILvttRj6qMVduQ
0,477,5,4.5,19,464,13,6,k1OpIhg0beWbfuDM-f4QkQ
0,384,3,3.5,147,228,0,23,25t_maVxlSpke5WELf8x_A
0,173,5,4,142,216,21,146,ogCupjZ-p_XzACPwINkVgQ
0,1368,5,4.5,8,253,0,4,1grqMtq54XrVhhDhtj2pFg
0,504,4,2.5,2934,447,0,12,bo_BcnNQ_ivebVYqtNHIZA
1,205,5,3.5,304,1043,1,11,70XRtJRYXFi-VSoonolnuA
0,2646,4,3,29,454,159,57,POlfRarqXGPhdkQE0MWUhg
2,200,5,4.5,220,516,22,34,fGfhH9KsajqJH_vALG-A_w
1,2255,5,4,369,745,72,440,nhJph-1KxE_w50o1cbHqSw
0,2628,4,4,728,762,0,18,k1IsBAou9QHP9xNGg0OWBw
3,614,4,3,283,268,63,2,J6cRSVFPHu5soSRmSY9vMQ
0,577,5,4,2622,198,5,25,JFK-FFuiURnsrQdhP5nnyw
0,366,1,4,319,542,2,10,85vi9YMH0dD61hDD1JOTbw
0,214,4,4.5,1647,104,1,554,zIdSNXH75unugQU2YizDDA
1,945,5,4.5,473,333,10,43,Gvi0avdhVUrpod8JU26FnQ
0,891,4,3.5,76,734,5,69,oDQ4dq0BT4hFQDWdnB2CFg
3,2067,4,3.5,363,669,1024,1587,cCCdOOpkEsVa0nSIteYGZA
2,461,5,3.5,601,728,77,84,mBkOWfDRyoWK-yONZ36ALA
1,1389,4,4,913,636,0,30,X4MsAHMilxIl1ajl8sjZxg
0,126,1,2.5,10,209,0,2,pyUM02EYkzbXqNlq3jRngA
0,362,5,4,36,307,1,6,4J0Bwde2jK5M9aFbv0zAMg
1,1378,3,3.5,209,473,0,21,yPAA7t3zHyA5iAVMbW4kzg
0,1082,5,4,342,237,13,8,56Hh0RzQ9bNq-rMweUaprw
0,570,5,4,348,206,1,10,eviyfj3Odqzei1rTUbO7mA
2,1505,3,3.5,782,2894,102,99,mvU01rQLXEA1Q_n03R6lUw
1,739,5,4.5,64,95,6,33,hcpLYy0DGd8YgHz-GZDUXw
3,120,2,4,20,1696,4,180,sSL0Fa0bAPfHi_wDoMFO_g
0,1047,2,2.5,346,283,3,37,MU4Ro1nnt__6iyD_9ejOaQ
0,456,4,3.5,606,418,3,18,x9AgyYC1sKlIa4wZyg_z8Q
0,303,5,4.5,62,360,50,2,lM7RpiPJZ5NagSUSVtjvwQ
0,142,5,4,110,246,1,1,j7raOzfM_3xVnuaqgAHo8A
0,2557,3,4,328,720,0,754,doXtEa-4yeSQrHqQLGr42w
1,387,5,5,33,161,5,1,e64u-f_pS5jpkzH4V6uaIA
0,862,5,4,48,1737,6,6,kVyJLr5vt2D5EuW-5vLwjA
0,2105,4,4,1395,367,13,652,62SinQyHgVWfzI383bHyZw
1,1396,4,3.5,330,285,1,5,WO4pvaNf6j6FM1_ljQiTOA
3,1730,4,4,3228,243,67,708,cXCS1A06QF6uVLa1Sep-Tw
0,490,1,3,74,630,0,5,lx8U_j5ZBHS5zqYdEKHZRg
0,450,5,3.5,16,231,0,6,pmgaSxdwjZeaohVopdcEvA
1,681,1,4.5,1357,549,50,24,eHfQnqB1tThdxrdJQmlJ2w
2,630,5,4,83,523,5,47,AgWB4oWPpFx7lpzXDct0VQ
0,444,5,3.5,283,88,0,2,saPqfsAnM7j3IfviDx-ThA
3,793,5,4.5,602,736,38,261,rMbP1A8u29i3hAvkPDeiHQ
3,1388,4,4.5,190,1219,203,251,u5YYiXYMQR6tcFqfDKAnng
8,1338,1,3.5,128,235,23,1832,IOXVzu_tXWl27AWn7bKdSA
0,2276,5,3,18,776,11,82,bb0LumDhp5F4iwLhVT-CEQ
1,490,5,4.5,265,891,0,1,DELBiWLpoQOy5R7vr-VlNg
1,472,1,2.5,39,178,2,15,TYQEvPaWRidr2DuGz5VGlw
0,479,5,4.5,1173,303,5,177,HDi0U2W3EF4eyXJhVo1gMw
0,1738,4,3.5,2736,119,4,111,nNrHnz3CFswiCfRqbvcBLQ
2,636,5,3.5,54,302,9,18,cF2upw_FThKekPfVs_8heQ
0,750,4,3.5,3181,15,6,84,hSvyJA73ng1jR-K_y0dw7A
5,679,5,4,332,1228,21,390,Px44kORbxtUfXiJK_jgzkA
3,922,5,4.5,29,556,67,4,jOFRv9PjgfEHPTxa_UbaxQ
0,400,5,5,10,687,6,9,fUZVSgm3M6TQXI6dLMajcA
0,422,1,3,2039,281,0,9,7cQGyUTJeDfw1BeaFVXpjQ
0,2356,5,4,220,997,112,1293,K7FAf3VKdvDzLks-5ETDGg
0,869,1,3,40,283,1,6,KfrlJy1XmqdLbXQ3VTYOLA
0,2239,3,3,914,195,7,247,PwPqTGJaVqHeA43LbeYizw
1,1652,2,3.5,151,89,2,6,RhX4Bm-zAL0opPdZW60O1Q
0,583,5,3,22,177,3,235,FPQoueh35YCeqHRfNlk3dw
0,367,5,4,288,72,4,157,8qweRClA2gtdRnWQ41RzbQ
3,1784,5,5,81,475,3,20,rQmDfecVUXdyusQd9HHhSg
1,790,5,4.5,69,728,8,15,AMJzKJhxxzLd0B1qJOK8hw
1,1477,5,4,228,390,1,26,PkysZ6CEt4G8m50mcG_ySg
0,1819,4,4,380,1711,2,122,l1EajUzXeAA4_diLNqHoNw
0,363,5,4.5,42,469,16,10,rEZpS2rWliDiEmrJ6t7Mpw
0,482,5,4.5,904,3125,7,8,tHyQBiBEDvsGkzQukdn2Wg
0,1810,2,3.5,662,462,11,181,G8EOaGMLB8vxSaXI2M4LYg
4,3122,4,3,9,2811,54,171,o1lnxsD5T9EBUW9EbrbyYA
0,1495,3,3,256,941,0,63,y5t4h5yJYyhlsE4qHefJOQ
0,586,5,3.5,3305,313,0,45,lZVZTNBg00sav7am4886ZQ
2,321,5,4,924,685,1,66,JzHzz2SKvuAnQArp8i9WRA
1,744,4,4.5,682,312,17,5,dk3odrg78md-35vD3hz3Wg
0,799,1,3.5,68,427,0,11,xAZv2pfQZut2r1BKx9pjVg
0,563,1,4,192,307,0,2,MZct3086VNAGJuiJYpboeg
0,265,5,4,122,630,7,113,pi9v4CdZEj09AZbeUU2qyw
0,2599,4,3.5,262,447,16,226,fWorB_bdswJuoHrb7iI2ag
1,2003,1,3,462,1581,8,18,1QKZ4Y-kOBCjqaalpmUpig
3,1690,4,3.5,91,1033,44,125,5RgDyel5Um4wC-3ZfGbVYg
0,149,3,2.5,53,265,2,59,XCBzofMk-lCDMuFOw45ZjQ
2,2485,4,3.5,292,1610,82,774,6T656Zb9KVTeWMKt-FuG2w
1,1262,5,4,812,292,2,66,LFbWQePdtJadL41OMbXPAg
0,330,2,3.5,515,148,1,58,YHlED8rAe1AQVzg1SG5hTA
0,291,5,5,38,480,0,1,Ar-7akpky1Z1qzSVwIf7-w
10,471,1,3.5,776,495,17,11,NoGRCpQ8qS_MW0JGGanjTQ
0,2262,2,3.5,248,1052,163,625,mEwkLxD9UskXP3MzSs_5vQ
0,199,5,4.5,263,321,1,80,BwMIwjp1ZjWUd9bhXQLuDg
0,1370,4,4.5,1027,202,1,214,TX3xlefmF6jb21NmfqCn3g
0,263,2,3,85,147,3,9,6a3DYBS6_sLrcSf1S23y8w
0,954,4,4,1358,2275,0,20,LzOFbogr0GMPLniw8KCxoQ
0,1266,4,3,370,371,269,726,n1d5cfiIl_zZtSLGngCBrg
0,387,5,4,76,425,0,15,bfyLes_kUu0-EP7N3aEfQQ
0,1829,2,4,450,150,2,21,wNntsTUPi2d9WJKhRN9G3Q
1,220,4,3,581,327,3,122,jdcGEyipMWWZ-pLM2_5nLg
0,1799,2,3.5,3305,412,2,26,EgnUHCFwT4BbGy8CtAQ6Aw
0,155,5,4,563,237,0,2,HWRPAM2RK78wR7EiwLJPcg
1,811,5,4.5,1148,529,30,51,O7gOErlyfyIcNGqHUo-JxQ
0,624,5,4,644,249,19,14,bq91UWfdBzsnQUW0AmhOeA
1,1032,4,4,225,370,23,47,Vjm0HE1lJ8AYWl_qClMTDA
0,566,5,4,387,309,0,8,NcoBksezpZFOXub0zRQt-g
1,733,5,4,26,612,0,2,PAzAWafiDpPvW8SfPh3zAA
0,310,5,3.5,653,180,0,7,l1YY9pbGLgFPrI4FxjQYpg
0,483,5,2.5,15,275,5,6,WU7iypZIJwEDssxX7MYTpg
0,253,5,3.5,426,927,6,61,80pQlo6KpuvjCBKyb7akIg
0,1368,5,3.5,15,585,8,11,g8065WqNsqP2o8HQzigpig
1,988,5,4.5,40,187,5,3,5Uf1r2BBQjzEI2RqCTOJxg
0,578,3,3.5,111,283,3,85,Xkwq3yA6X4h-qVjsMtFzRw
0,910,2,4,464,1817,5,65,#NAME?
2,107,5,4.5,324,950,0,3,mdGRy7LMDpFBwhRJfiGHqA
0,590,5,4,1024,254,11,29,uoTbhMptRs7NGW67xSxWhQ
1,2365,4,3.5,1394,987,286,786,hHAeY44xyJROsbHPTlol1g
1,1848,4,3.5,265,919,516,1924,_GtrisKSCmAYvqB3HTMv0A
0,1954,5,5,16,512,1,5,Ts0KAtoXjv5IAHnJ0N2Rmg
0,304,3,4,324,111,4,35,9zvUOfIyww_9OW6aZwFvng
1,1723,4,2.5,2286,229,68,299,xV8B3WaKcg_j6PsvIifoSA
0,174,2,4,331,644,3,13,sCRXhTKiAYxbMcLwzXQxJw
0,433,5,3.5,258,230,0,11,JM61ryq4GBzzqt6Kc9wpyg
0,832,5,4,2362,1787,10,26,ye2_zQrRo_QUwCZ1OenYsA
0,2011,4,4.5,6,569,368,379,8ncxQ57AOzjUsSpeWmBFiw
0,1769,4,4.5,847,55,1,3,2z-jUvUm_N9EAlM_nUPauw
0,154,5,4.5,87,181,0,5,v5rPuxXvUZRzDM2qlgDXKg
2,1064,5,4.5,342,490,15,480,A5t4mXaZunc1_0zT0C6KbQ
0,1176,5,4,79,1076,0,9,-6td9q9Ss74VbIsjnT94Kw
2,972,5,4.5,13,317,0,7,wJwR7gdGVtEZsN44EumO1g
0,476,3,3.5,1814,69,3,17,uOvukWy6VwEA1K0IYSmcKQ
0,630,3,4,154,245,58,16,WfJgih9txXjvSrCmG6vr4A
0,1770,4,3.5,117,521,100,45,ZkberyjWphwZ4T4Rx2gy5Q
0,1782,4,4,1279,71,1,44,s5GjTSiOAXbgyh7Jj4PrVg
